"title","place","lat","lng","date","color","list"
"Histoire de Saint Laurent","Barjols","43.557156"," 6.007750","1600","Black","<h1>Barjols</h1><div class='scroller;'><ol><li><i>Farces. Juoc de saint Andriou</i> (1452) [<a href='https://maperformance.github.io/data/S3499.html' target='_blank'>Voir la fiche</a>]</li><li><i></i> (1454) [<a href='https://maperformance.github.io/data/S3500.html' target='_blank'>Voir la fiche</a>]</li><li><i>Jeu de l’Homme Humain</i> (1463) [<a href='https://maperformance.github.io/data/S3501.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Passion</i> (1464) [<a href='https://maperformance.github.io/data/S3502.html' target='_blank'>Voir la fiche</a>]</li><li><i>Farces</i> (1472) [<a href='https://maperformance.github.io/data/S3503.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de Job (Saint Adrien ?)</i> (1475) [<a href='https://maperformance.github.io/data/S3504.html' target='_blank'>Voir la fiche</a>]</li><li><i>La Passion</i> (1520) [<a href='https://maperformance.github.io/data/S3505.html' target='_blank'>Voir la fiche</a>]</li><li><i>Sacrifice d’Abraham</i> (1550) [<a href='https://maperformance.github.io/data/S3506.html' target='_blank'>Voir la fiche</a>]</li><li><i>Moralité de la Patience de job</i> (1551) [<a href='https://maperformance.github.io/data/S3507.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de Sainte Suzanne</i> (1556) [<a href='https://maperformance.github.io/data/S3508.html' target='_blank'>Voir la fiche</a>]</li><li><i>Le Jugement et finement du monde</i> (1558) [<a href='https://maperformance.github.io/data/S3509.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de Job</i> (1577) [<a href='https://maperformance.github.io/data/S3510.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de Saint Laurent</i> (1600) [<a href='https://maperformance.github.io/data/S3511.html' target='_blank'>Voir la fiche</a>]</li><li><i>Le Mauvais riche</i> (1604) [<a href='https://maperformance.github.io/data/S3512.html' target='_blank'>Voir la fiche</a>]</li><li><i>Les Juives (?)</i> (1604) [<a href='https://maperformance.github.io/data/S3513.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de Saint Eustache</i> (1612) [<a href='https://maperformance.github.io/data/S3514.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de Saint Eustache</i> (1613) [<a href='https://maperformance.github.io/data/S3515.html' target='_blank'>Voir la fiche</a>]</li><li><i>Joseph le Juste</i> (1617) [<a href='https://maperformance.github.io/data/S3516.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de Saint Sébastien</i> (1627) [<a href='https://maperformance.github.io/data/S3517.html' target='_blank'>Voir la fiche</a>]</li><li><i>L’Innocence reconnue</i> (1655) [<a href='https://maperformance.github.io/data/S3518.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de Saint Julien</i> (1663) [<a href='https://maperformance.github.io/data/S3519.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de Sainte Luce</i> (1678) [<a href='https://maperformance.github.io/data/S3520.html' target='_blank'>Voir la fiche</a>]</li></ol></div>"
"Mystère de la Conversion de Sainte Marie-Magedeleine","Grasse","43.660153"," 6.926492","1600","Black","<h1>Grasse</h1><div class='scroller;'><ol><li><i>Mystère de la Conversion de Sainte Marie-Magedeleine</i> (1600) [<a href='https://maperformance.github.io/data/S3099.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de la Madeleine</i> (1602) [<a href='https://maperformance.github.io/data/S3666.html' target='_blank'>Voir la fiche</a>]</li></ol></div>"
"Pièce inconnue","Lyon","45.764043"," 4.835659","1600","Black","<h1>Lyon</h1><div class='scroller;'><ol><li><i>Pièce inconnue</i> (1435) [<a href='https://maperformance.github.io/data/S2031.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Passion</i> (1447) [<a href='https://maperformance.github.io/data/S2086.html' target='_blank'>Voir la fiche</a>]</li><li><i>Farces contre les femmes de la bourgeoise lyonnaise par les clercs de la Chancellerie du roi</i> (1457) [<a href='https://maperformance.github.io/data/S2135.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de Sainte Catherine</i> (1483) [<a href='https://maperformance.github.io/data/S2310.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Passion</i> (1485) [<a href='https://maperformance.github.io/data/S2338.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Passion</i> (1487) [<a href='https://maperformance.github.io/data/S2356.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère</i> (1488) [<a href='https://maperformance.github.io/data/S2360.html' target='_blank'>Voir la fiche</a>]</li><li><i>Entrée d’Anne de Bretagne</i> (1493) [<a href='https://maperformance.github.io/data/S3573.html' target='_blank'>Voir la fiche</a>]</li><li><i>Vie Madeleine</i> (1500) [<a href='https://maperformance.github.io/data/S2449.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de Saint Nicolas de Tolentin</i> (1506) [<a href='https://maperformance.github.io/data/S2487.html' target='_blank'>Voir la fiche</a>]</li><li><i>Jeux et farces par les florentins de Lyon</i> (1513) [<a href='https://maperformance.github.io/data/S2548.html' target='_blank'>Voir la fiche</a>]</li><li><i>Ystoire</i> (1516) [<a href='https://maperformance.github.io/data/S2582.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Conception de Notre Dame et Saint Jean-Baptiste</i> (1518) [<a href='https://maperformance.github.io/data/S2581.html' target='_blank'>Voir la fiche</a>]</li><li><i>mistères de la Passion, Nativité, Assension et Résurrection de Nostre-Seigneur</i> (1537) [<a href='https://maperformance.github.io/data/S3432.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère du Sacrifice d’Abraham</i> (1538) [<a href='https://maperformance.github.io/data/S2756.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère du Vieux Testament et du Nouveau Testament</i> (1538) [<a href='https://maperformance.github.io/data/S2757.html' target='_blank'>Voir la fiche</a>]</li><li><i>Jeu de la Calendra</i> (1548) [<a href='https://maperformance.github.io/data/S2843.html' target='_blank'>Voir la fiche</a>]</li><li><i>Pièce inconnue</i> (1600) [<a href='https://maperformance.github.io/data/S3100.html' target='_blank'>Voir la fiche</a>]</li><li><i>Agérisina</i> (1601) [<a href='https://maperformance.github.io/data/S3104.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère du Jugement Dernier</i> (1607) [<a href='https://maperformance.github.io/data/S3117.html' target='_blank'>Voir la fiche</a>]</li><li><i>Interdiction de la Fête des Saints-Innocents par le chapitre</i> (1609) [<a href='https://maperformance.github.io/data/S3122.html' target='_blank'>Voir la fiche</a>]</li><li><i>Tragédie des Cabades</i> (1640) [<a href='https://maperformance.github.io/data/S3139.html' target='_blank'>Voir la fiche</a>]</li><li><i>Pièce inconnue</i> (1657) [<a href='https://maperformance.github.io/data/S3153.html' target='_blank'>Voir la fiche</a>]</li></ol></div>"
"Mystère de Saint Romaric","Remiremont","48.015589"," 6.591716","1600","Black","<h1>Remiremont</h1><div class='scroller;'><ol><li><i>Mystère de Saint Romaric</i> (1600) [<a href='https://maperformance.github.io/data/S3101.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Vendition de Joseph</i> (1603) [<a href='https://maperformance.github.io/data/S3111.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de Saint Jacques en Galice</i> (1613) [<a href='https://maperformance.github.io/data/S3128.html' target='_blank'>Voir la fiche</a>]</li></ol></div>"
"Histoire","Seillans","43.636242"," 6.643412","1600","Black","<h1>Seillans</h1><div class='scroller;'><ol><li><i>Le Jeu du Monde</i> (1535) [<a href='https://maperformance.github.io/data/S3528.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Passion</i> (1556) [<a href='https://maperformance.github.io/data/S3529.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire d’Abel</i> (1582) [<a href='https://maperformance.github.io/data/S3530.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de job</i> (1582) [<a href='https://maperformance.github.io/data/S3531.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire du monde et chacun</i> (1584) [<a href='https://maperformance.github.io/data/S3532.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Passion</i> (1595) [<a href='https://maperformance.github.io/data/S3533.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire deTtobie</i> (1596) [<a href='https://maperformance.github.io/data/S3534.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire du petit Joseph</i> (1597) [<a href='https://maperformance.github.io/data/S3535.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire</i> (1600) [<a href='https://maperformance.github.io/data/S3536.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire poétique</i> (1602) [<a href='https://maperformance.github.io/data/S3537.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de la révolte d’Absalon</i> (1621) [<a href='https://maperformance.github.io/data/S3538.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire</i> (1628) [<a href='https://maperformance.github.io/data/S3539.html' target='_blank'>Voir la fiche</a>]</li></ol></div>"
"Mystère des Rois","Romont","46.691907"," 6.913696","1600","Black","<h1>Romont</h1><div class='scroller;'><ol><li><i>Mystère de la Passion</i> (1456) [<a href='https://maperformance.github.io/data/S2132.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère des Rois</i> (1460) [<a href='https://maperformance.github.io/data/S2158.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère des Rois</i> (1570) [<a href='https://maperformance.github.io/data/S3001.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère des Rois</i> (1571) [<a href='https://maperformance.github.io/data/S3006.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Décollation de Saint Jean-Baptiste</i> (1572) [<a href='https://maperformance.github.io/data/S3008.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère des Rois</i> (1578) [<a href='https://maperformance.github.io/data/S3020.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère des Rois</i> (1600) [<a href='https://maperformance.github.io/data/S3102.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère des Rois</i> (1699) [<a href='https://maperformance.github.io/data/S3178.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Passion</i> (1755) [<a href='https://maperformance.github.io/data/S3189.html' target='_blank'>Voir la fiche</a>]</li></ol></div>"
"Agérisina","Lyon","45.764043"," 4.835659","1601","Black","<h1>Lyon</h1><div class='scroller;'><ol><li><i>Pièce inconnue</i> (1435) [<a href='https://maperformance.github.io/data/S2031.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Passion</i> (1447) [<a href='https://maperformance.github.io/data/S2086.html' target='_blank'>Voir la fiche</a>]</li><li><i>Farces contre les femmes de la bourgeoise lyonnaise par les clercs de la Chancellerie du roi</i> (1457) [<a href='https://maperformance.github.io/data/S2135.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de Sainte Catherine</i> (1483) [<a href='https://maperformance.github.io/data/S2310.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Passion</i> (1485) [<a href='https://maperformance.github.io/data/S2338.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Passion</i> (1487) [<a href='https://maperformance.github.io/data/S2356.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère</i> (1488) [<a href='https://maperformance.github.io/data/S2360.html' target='_blank'>Voir la fiche</a>]</li><li><i>Entrée d’Anne de Bretagne</i> (1493) [<a href='https://maperformance.github.io/data/S3573.html' target='_blank'>Voir la fiche</a>]</li><li><i>Vie Madeleine</i> (1500) [<a href='https://maperformance.github.io/data/S2449.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de Saint Nicolas de Tolentin</i> (1506) [<a href='https://maperformance.github.io/data/S2487.html' target='_blank'>Voir la fiche</a>]</li><li><i>Jeux et farces par les florentins de Lyon</i> (1513) [<a href='https://maperformance.github.io/data/S2548.html' target='_blank'>Voir la fiche</a>]</li><li><i>Ystoire</i> (1516) [<a href='https://maperformance.github.io/data/S2582.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Conception de Notre Dame et Saint Jean-Baptiste</i> (1518) [<a href='https://maperformance.github.io/data/S2581.html' target='_blank'>Voir la fiche</a>]</li><li><i>mistères de la Passion, Nativité, Assension et Résurrection de Nostre-Seigneur</i> (1537) [<a href='https://maperformance.github.io/data/S3432.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère du Sacrifice d’Abraham</i> (1538) [<a href='https://maperformance.github.io/data/S2756.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère du Vieux Testament et du Nouveau Testament</i> (1538) [<a href='https://maperformance.github.io/data/S2757.html' target='_blank'>Voir la fiche</a>]</li><li><i>Jeu de la Calendra</i> (1548) [<a href='https://maperformance.github.io/data/S2843.html' target='_blank'>Voir la fiche</a>]</li><li><i>Pièce inconnue</i> (1600) [<a href='https://maperformance.github.io/data/S3100.html' target='_blank'>Voir la fiche</a>]</li><li><i>Agérisina</i> (1601) [<a href='https://maperformance.github.io/data/S3104.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère du Jugement Dernier</i> (1607) [<a href='https://maperformance.github.io/data/S3117.html' target='_blank'>Voir la fiche</a>]</li><li><i>Interdiction de la Fête des Saints-Innocents par le chapitre</i> (1609) [<a href='https://maperformance.github.io/data/S3122.html' target='_blank'>Voir la fiche</a>]</li><li><i>Tragédie des Cabades</i> (1640) [<a href='https://maperformance.github.io/data/S3139.html' target='_blank'>Voir la fiche</a>]</li><li><i>Pièce inconnue</i> (1657) [<a href='https://maperformance.github.io/data/S3153.html' target='_blank'>Voir la fiche</a>]</li></ol></div>"
"Mystère de Sainte Marguerite","Malestroit","47.810173"," -2.383339","1601","Black","<h1>Malestroit</h1><div class='scroller;'><ol><li><i>Mystère de Sainte Marguerite</i> (1601) [<a href='https://maperformance.github.io/data/S3105.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de Judith</i> (1626) [<a href='https://maperformance.github.io/data/S3132.html' target='_blank'>Voir la fiche</a>]</li></ol></div>"
"Mystère de la Nativité","Marseille","43.296482"," 5.369780","1601","Black","<h1>Marseille</h1><div class='scroller;'><ol><li><i>Mystère de la Nativité</i> (1601) [<a href='https://maperformance.github.io/data/S3106.html' target='_blank'>Voir la fiche</a>]</li></ol></div>"
"Histoire","Moudon","46.668900"," 6.797260","1601","Black","<h1>Moudon</h1><div class='scroller;'><ol><li><i>Mystère de la Passion</i> (1480) [<a href='https://maperformance.github.io/data/S2286.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de Saint Etienne</i> (1507) [<a href='https://maperformance.github.io/data/S2500.html' target='_blank'>Voir la fiche</a>]</li><li><i>Miracle</i> (1526) [<a href='https://maperformance.github.io/data/S2644.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de Saint Lazare</i> (1526) [<a href='https://maperformance.github.io/data/S2645.html' target='_blank'>Voir la fiche</a>]</li><li><i>Moralité de Loz poure commung</i> (1531) [<a href='https://maperformance.github.io/data/S2690.html' target='_blank'>Voir la fiche</a>]</li><li><i>Mystère de la Passion</i> (1531) [<a href='https://maperformance.github.io/data/S2691.html' target='_blank'>Voir la fiche</a>]</li><li><i>Deser ardant</i> (1533) [<a href='https://maperformance.github.io/data/S2711.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire</i> (1533) [<a href='https://maperformance.github.io/data/S2712.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire</i> (1563) [<a href='https://maperformance.github.io/data/S3447.html' target='_blank'>Voir la fiche</a>]</li><li><i>Comédie du Monde malade</i> (1594) [<a href='https://maperformance.github.io/data/S3453.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire</i> (1601) [<a href='https://maperformance.github.io/data/S3454.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire</i> (1602) [<a href='https://maperformance.github.io/data/S3455.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de Suzanne</i> (1603) [<a href='https://maperformance.github.io/data/S3456.html' target='_blank'>Voir la fiche</a>]</li><li><i>Comédie du Cosmopolite</i> (1604) [<a href='https://maperformance.github.io/data/S3457.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire</i> (1606) [<a href='https://maperformance.github.io/data/S3459.html' target='_blank'>Voir la fiche</a>]</li><li><i>La Ressemblance de l’assassinat fait en la personne du Roy (?)</i> (1609) [<a href='https://maperformance.github.io/data/S3461.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire</i> (1610) [<a href='https://maperformance.github.io/data/S3462.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire</i> (1612) [<a href='https://maperformance.github.io/data/S3465.html' target='_blank'>Voir la fiche</a>]</li><li><i>Histoire de Goliath</i> (1614) [<a href='https://maperformance.github.io/data/S3466.html' target='_blank'>Voir la fiche</a>]</li><li><i>Comédie</i> (1615) [<a href='https://maperformance.github.io/data/S3467.html' target='_blank'>Voir la fiche</a>]</li><li><i>Comédie</i> (1616) [<a href='https://maperformance.github.io/data/S3463.html' target='_blank'>Voir la fiche</a>]</li><li><i>Comédie</i> (1617) [<a href='https://maperformance.github.io/data/S3464.html' target='_blank'>Voir la fiche</a>]</li><li><i>Comédie</i> (1654) [<a href='https://maperformance.github.io/data/S3473.html' target='_blank'>Voir la fiche</a>]</li></ol></div>"
